variable,F,p,eta_sq
sentiment_score,191.86463759646128,5.134862141090648e-74,0.6178592462738804
word_count,564.4803841926698,6.674050853872624e-135,0.8262941097126967
char_count,1050.7241389192388,1.946139345766921e-176,0.8985226614577232
negation_count,243.1333333333338,8.240799028807238e-86,0.6720103187764884
exclamation_mark,408.4484514212975,7.1595946553705685e-115,0.7748752357983713
subordinator_count,101.66032931590577,1.5013873947341914e-47,0.4614065964206536
complexity_index,1271.7356215648608,8.143884139322583e-190,0.9146529981494778
